マカロニグラタン,洋食,焼き物,190,50,488,23.4,24,41.5,マカロニ,鳥もも肉,牛乳,たまねぎ,https://cookpad.com/search/%E3%83%9E%E3%82%AB%E3%83%AD%E3%83%8B%E3%82%B0%E3%83%A9%E3%82%BF%E3%83%B3
ビーフシチュー,洋食,煮物,430,55,594,23.3,40,24,牛肉,にんじん,じゃがいも,たまねぎ,https://cookpad.com/search/%E3%83%93%E3%83%BC%E3%83%95%E3%82%B7%E3%83%81%E3%83%A5%E3%83%BC
ステーキ,洋食,焼き物,600,40,355,18,28.5,0.56,牛肉,塩,バター,牛肉,https://cookpad.com/search/%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD
カレーライス,洋食,煮物,450,50,859,21,26.5,130,ご飯,にんじん,じゃがいも,たまねぎ,https://cookpad.com/search/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%A9%E3%82%A4%E3%82%B9
コロッケ,洋食,揚げ物,320,40,98,2.7,2.9,15.8,じゃがいも,ひき肉,パン粉,じゃがいも,https://cookpad.com/search/%E3%82%B3%E3%83%AD%E3%83%83%E3%82%B1
チキンカツ,洋食,揚げ物,340,35,305,24.1,17.4,10.2,鶏肉,小麦粉,パン粉,たまご,https://cookpad.com/search/%E3%83%81%E3%82%AD%E3%83%B3%E3%82%AB%E3%83%84
ピラフ,洋食,炒め物,360,45,266,6.2,4.6,49.6,ご飯,グリンピース,にんじん,たまねぎ,https://cookpad.com/search/%E3%83%94%E3%83%A9%E3%83%95
鮭のムニエル,洋食,焼き物,270,50,226,18.6,13.2,6,鮭,バター,塩,鮭,https://cookpad.com/search/%E3%83%A0%E3%83%8B%E3%82%A8%E3%83%AB%20%E9%AE%AD
クリームシチュー,洋食,煮物,320,50,269,12.4,17,14.2,鶏肉,じゃがいも,にんじん,たまねぎ,https://cookpad.com/search/%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%B7%E3%83%81%E3%83%A5%E3%83%BC
ロールキャベツ,洋食,煮物,510,55,166,11.5,7.9,12,キャベツ,ひき肉,ケチャップ,キャベツ,https://cookpad.com/search/%E3%83%AD%E3%83%BC%E3%83%AB%E3%82%AD%E3%83%A3%E3%83%99%E3%83%84
ドリア,洋食,焼き物,480,50,591,21.8,27,60.5,ご飯,鶏肉,チーズ,たまねぎ,https://cookpad.com/search/%E3%83%89%E3%83%AA%E3%82%A2
エビフライ,洋食,揚げ物,360,35,139,4.9,0.9,9.7,海老,パン粉,小麦粉,海老,https://cookpad.com/search/%E3%82%A8%E3%83%93%E3%83%95%E3%83%A9%E3%82%A4
コーンスープ,洋食,汁物,220,25,81,1.5,2.6,12.8,コーン,コーン,牛乳,なし,https://cookpad.com/search/%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B9%E3%83%BC%E3%83%97
ローストビーフ,洋食,蒸し物,430,45,78,8.6,4.6,0.3,牛もも肉,塩,コショウ,なし,https://cookpad.com/search/%E3%83%AD%E3%83%BC%E3%82%B9%E3%83%88%E3%83%93%E3%83%BC%E3%83%95
ハヤシライス,洋食,煮物,470,50,1077,31.8,45.2,122.1,ご飯,デミグラスソース,じゃがいも,たまねぎ,https://cookpad.com/search/%E3%83%8F%E3%83%A4%E3%82%B7%E3%83%A9%E3%82%A4%E3%82%B9
カルボナーラ,洋食,炒め物,370,45,779,26.3,40,72.3,スパゲッティ,パルメザンチーズ,ベーコン,たまご,https://cookpad.com/search/%E3%82%AB%E3%83%AB%E3%83%9C%E3%83%8A%E3%83%BC%E3%83%A9
ポテトサラダ,洋食,サラダ,240,25,113,2.9,6.7,10.2,じゃがいも,たまご,マヨネーズ,きゅうり,https://cookpad.com/search/%E3%83%9D%E3%83%86%E3%83%88%E3%82%B5%E3%83%A9%E3%83%80
キッシュ,洋食,焼き物,350,45,247,6.8,18.5,12.8,たまご,ベーコン,ほうれんそう,たまねぎ,https://cookpad.com/search/%E3%82%AD%E3%83%83%E3%82%B7%E3%83%A5
オムレツ,洋食,焼き物,220,25,353,23,22.4,11.6,たまご,ケチャップ,なし,たまご,https://cookpad.com/search/%E3%82%AA%E3%83%A0%E3%83%AC%E3%83%84
キーマカレー,洋食,煮物,380,45,711,18.5,18.5,122.2,カレーライス,ひき肉,トマト,たまねぎ,https://cookpad.com/search/%E3%82%AD%E3%83%BC%E3%83%9E%E3%82%AB%E3%83%AC%E3%83%BC
リゾット,洋食,煮物,340,35,416,9.7,22.2,40.5,ご飯,なす,トマト,たまねぎ,https://cookpad.com/search/%E3%83%AA%E3%82%BE%E3%83%83%E3%83%88
ミートソーススパゲティ,洋食,炒め物,360,40,614,21.8,16.5,88.3,スパゲッティ,ひき肉,ケチャップ,トマト,https://cookpad.com/search/%E3%83%9F%E3%83%BC%E3%83%88%E3%82%BD%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%91%E3%82%B2%E3%83%86%E3%82%A3
ポーチドエッグ,洋食,煮物,220,30,103,7.6,7.3,0.1,たまご,酢,たまご,たまご,https://cookpad.com/search/%E3%83%9D%E3%83%BC%E3%83%81%E3%83%89%E3%82%A8%E3%83%83%E3%82%B0
カツサンド,洋食,揚げ物,180,20,421,16.5,21,38.9,とんかつ,パン粉,キャベツ,キャベツ,https://cookpad.com/search/%E3%82%AB%E3%83%84%E3%82%B5%E3%83%B3%E3%83%89
オムハヤシ,洋食,煮物,430,40,1060,31.9,71.4,62.9,ハヤシライス,たまご,トマト,たまねぎ,https://cookpad.com/search/%E3%82%AA%E3%83%A0%E3%83%8F%E3%83%A4%E3%82%B7
